Sentence #,Word,POS,Tag
Sentence: 1,Thousands,NNS,O
,of,IN,O
,demonstrators,NNS,O
,have,VBP,O
,marched,VBN,O
,through,IN,O
,London,NNP,B-geo
,to,TO,O
,protest,VB,O
,the,DT,O
,war,NN,O
,in,IN,O
,Iraq,NNP,B-geo
,and,CC,O
,demand,VB,O
,the,DT,O
,withdrawal,NN,O
,of,IN,O
,British,JJ,B-gpe
,troops,NNS,O
,from,IN,O
,that,DT,O
,country,NN,O
,.,.,O
Sentence: 2,Families,NNS,O
,of,IN,O
,soldiers,NNS,O
,killed,VBN,O
,in,IN,O
,the,DT,O
,conflict,NN,O
,joined,VBD,O
,the,DT,O
,protesters,NNS,O
,who,WP,O
,carried,VBD,O
,banners,NNS,O
,with,IN,O
,such,JJ,O
,slogans,NNS,O
,as,IN,O
,"""",``,O
,Bush,NNP,B-per
,Number,NN,O
,One,CD,O
,Terrorist,NN,O
,"""",``,O
,and,CC,O
,"""",``,O
,Stop,VB,O
,the,DT,O
,Bombings,NNS,O
,.,.,O
,"""",``,O
Sentence: 3,They,PRP,O
,marched,VBD,O
,from,IN,O
,the,DT,O
,Houses,NNS,O
,of,IN,O
,Parliament,NN,O
,to,TO,O
,a,DT,O
,rally,NN,O
,in,IN,O
,Hyde,NNP,B-geo
,Park,NNP,I-geo
,.,.,O
Sentence: 4,Police,NNS,O
,put,VBD,O
,the,DT,O
,number,NN,O
,of,IN,O
,marchers,NNS,O
,at,IN,O
,"10,000",CD,O
,while,IN,O
,organizers,NNS,O
,claimed,VBD,O
,it,PRP,O
,was,VBD,O
,"1,00,000",CD,O
,.,.,O
Sentence: 5,The,DT,O
,protest,NN,O
,comes,VBZ,O
,on,IN,O
,the,DT,O
,eve,NN,O
,of,IN,O
,the,DT,O
,annual,JJ,O
,conference,NN,O
,of,IN,O
,Britain,NNP,B-geo
,'s,POS,O
,ruling,VBG,O
,Labor,NNP,B-org
,Party,NNP,I-org
,in,IN,O
,the,DT,O
,southern,JJ,O
,English,JJ,B-gpe
,seaside,NN,O
,resort,NN,O
,of,IN,O
,Brighton,NNP,B-geo
,.,.,O
Sentence: 6,The,DT,O
,party,NN,O
,is,VBZ,O
,divided,VBN,O
,over,IN,O
,Britain,NNP,B-gpe
,'s,POS,O
,participation,NN,O
,in,IN,O
,the,DT,O
,Iraq,NNP,B-geo
,conflict,NN,O
,and,CC,O
,the,DT,O
,continued,JJ,O
,deployment,NN,O
,of,IN,O
,"8,500",CD,O
,British,JJ,B-gpe
,troops,NNS,O
,in,IN,O
,that,DT,O
,country,NN,O
,.,.,O
Sentence: 7,The,DT,O
,London,NNP,B-geo
,march,NN,O
,came,VBD,O
,ahead,RB,O
,of,IN,O
,anti-war,JJ,O
,protests,NNS,O
,today,NN,O
,in,IN,O
,other,JJ,O
,cities,NNS,O
,",",",",O
,including,VBG,O
,Rome,NNP,B-geo
,",",",",O
,Paris,NNP,B-geo
,",",",",O
,and,CC,O
,Madrid,NNP,B-geo
,.,.,O
Sentence: 8,The,DT,O
,International,NNP,B-org
,Atomic,NNP,I-org
,Energy,NNP,I-org
,Agency,NNP,I-org
,is,VBZ,O
,to,TO,O
,hold,VB,O
,second,JJ,O
,day,NN,O
,of,IN,O
,talks,NNS,O
,in,IN,O
,Vienna,NNP,B-geo
,Wednesday,NNP,B-tim
,on,IN,O
,how,WRB,O
,to,TO,O
,respond,VB,O
,to,TO,O
,Iran,NNP,B-gpe
,'s,POS,O
,resumption,NN,O
,of,IN,O
,low-level,JJ,O
,uranium,NN,O
,conversion,NN,O
,.,.,O
Sentence: 9,Iran,NNP,B-gpe
,this,DT,O
,week,NN,O
,restarted,VBD,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,conversion,NN,O
,process,NN,O
,at,IN,O
,its,PRP$,O
,Isfahan,NNP,B-geo
,nuclear,JJ,O
,plant,NN,O
,.,.,O
Sentence: 10,Iranian,JJ,B-gpe
,officials,NNS,O
,say,VBP,O
,they,PRP,O
,expect,VBP,O
,to,TO,O
,get,VB,O
,access,NN,O
,to,TO,O
,sealed,JJ,O
,sensitive,JJ,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,plant,NN,O
,Wednesday,NNP,B-tim
,",",",",O
,after,IN,O
,an,DT,O
,IAEA,NNP,B-org
,surveillance,NN,O
,system,NN,O
,begins,VBZ,O
,functioning,VBG,O
,.,.,O
Sentence: 11,The,DT,O
,step,NN,O
,will,MD,O
,allow,VB,O
,the,DT,O
,facility,NN,O
,to,TO,O
,operate,VB,O
,at,IN,O
,full,JJ,O
,capacity,NN,O
,.,.,O
Sentence: 12,The,DT,O
,European,NNP,B-org
,Union,NNP,I-org
,",",",",O
,with,IN,O
,U.S.,NNP,B-gpe
,backing,NN,O
,",",",",O
,has,VBZ,O
,threatened,VBN,O
,to,TO,O
,refer,VB,O
,Iran,NNP,B-gpe
,to,TO,O
,the,DT,O
,U.N.,NNP,B-org
,Security,NNP,I-org
,Council,NNP,I-org
,",",",",O
,which,WDT,O
,could,MD,O
,impose,VB,O
,sanctions,NNS,O
,if,IN,O
,it,PRP,O
,finds,VBZ,O
,Tehran,NNP,B-gpe
,has,VBZ,O
,violated,VBN,O
,the,DT,O
,Nuclear,NNP,B-art
,Non-Proliferation,NNP,I-art
,treaty,NN,O
,.,.,O
Sentence: 13,Iran,NNP,B-gpe
,'s,POS,O
,new,JJ,O
,President,NNP,B-per
,Mahmoud,NNP,I-per
,Ahmadinejad,NNP,I-per
,said,VBD,O
